,Distancia
0,137.63922584587442
1,137.63922584587442
2,137.63922584587442
3,137.63922584587442
4,137.1995431769423
5,137.1995431769423
6,137.63922584587442
7,137.1995431769423
8,137.1995431769423
9,137.1995431769423
10,137.1995431769423
11,137.1995431769423
12,137.1995431769423
13,137.1995431769423
14,137.1995431769423
15,137.1995431769423
16,137.1995431769423
17,137.1995431769423
18,137.1995431769423
19,137.1995431769423
20,137.1995431769423
21,137.1995431769423
22,137.00551919087846
23,136.5656992298428
24,137.1995431769423
25,136.76020618931284
26,136.5656992298428
27,136.5656992298428
28,136.5656992298428
29,136.5656992298428
30,136.5656992298428
31,136.1262239175713
32,136.1262239175713
33,136.1262239175713
34,135.9326243352466
35,135.4930091991334
36,135.9326243352466
37,135.4930091991334
38,135.4930091991334
39,135.4930091991334
40,135.3003239564703
41,135.3003239564703
42,135.3003239564703
43,135.3003239564703
44,134.86056750036857
45,134.86056750036857
46,134.86056750036857
47,134.86056750036857
48,134.22890438524794
49,134.22890438524794
50,134.22890438524794
51,134.22890438524794
52,133.8252024919358
53,134.22890438524794
54,134.22890438524794
55,133.8252024919358
56,134.22890438524794
57,134.22890438524794
58,134.22890438524794
59,134.22890438524794
60,134.22890438524794
61,134.22890438524794
62,134.22890438524794
63,134.22890438524794
64,134.42115563738503
65,134.66880365398777
66,134.86056750036857
67,134.86056750036857
68,134.86056750036857
69,134.86056750036857
70,134.86056750036857
71,135.3003239564703
72,135.3003239564703
73,135.4930091991334
74,135.4930091991334
75,135.4930091991334
76,135.9326243352466
77,135.9326243352466
78,135.9326243352466
79,136.1262239175713
80,136.1262239175713
81,136.5656992298428
82,136.5656992298428
83,136.5656992298428
84,136.5656992298428
85,136.5656992298428
86,136.5656992298428
87,136.5656992298428
88,136.5656992298428
89,137.1995431769423
90,137.1995431769423
91,137.1995431769423
92,137.1995431769423
93,137.1995431769423
94,137.1995431769423
95,137.1995431769423
96,137.1995431769423
97,137.1995431769423
98,137.1995431769423
99,137.1995431769423
