,Distancia
0,136.94402433384838
1,137.31395684663863
2,133.8282170959339
3,133.36616801265524
4,133.1205676929805
5,132.9559614050628
6,133.1205676929805
7,132.4648775149789
8,132.70977249376503
9,132.29944872647897
10,132.26698038661564
11,132.26698038661564
12,131.89003383397457
13,132.29944872647897
14,132.0539631487923
15,132.0539631487923
16,132.26698038661564
17,132.51362213674446
18,132.51362213674446
19,132.51362213674446
20,132.51362213674446
21,132.9559614050628
22,132.79462149339378
23,133.8282170959339
24,134.48637652542263
25,134.8957086879608
26,134.68070664456351
27,135.14510717130906
28,135.36223715017496
29,134.76992828254663
30,135.14510717130906
31,134.76992828254663
32,135.02123784260007
33,135.39576825436743
34,135.61401490867624
35,135.39576825436743
36,135.17851534119893
37,135.39576825436743
38,135.4295007567297
39,135.58779907116914
40,135.4295007567297
41,135.8044065356135
42,135.39576825436743
43,135.8044065356135
44,135.39576825436743
45,135.83801542104945
46,135.17851534119893
47,135.58779907116914
48,135.83801542104945
49,135.8044065356135
50,136.05573873962476
51,136.05573873962476
52,136.05573873962476
53,136.05573873962476
54,136.27444900601003
55,136.05573873962476
56,136.05573873962476
57,135.4295007567297
58,135.8044065356135
59,135.4295007567297
60,135.83801542104945
61,136.05573873962476
62,136.27444900601003
63,136.05573873962476
64,135.64768659438468
65,136.05573873962476
66,135.68147936394288
67,136.05573873962476
68,135.64768659438468
69,135.68147936394288
