,Distancia
0,148.40244361776053
1,148.40244361776053
2,148.40244361776053
3,148.40244361776053
4,148.40244361776053
5,148.40244361776053
6,148.40244361776053
7,148.40244361776053
8,148.40244361776053
9,148.40244361776053
10,148.40244361776053
11,148.40244361776053
12,148.40244361776053
13,148.40244361776053
14,148.40244361776053
15,148.40244361776053
16,148.40244361776053
17,148.40244361776053
18,148.40244361776053
19,148.40244361776053
20,148.40244361776053
21,148.40244361776053
22,148.40244361776053
23,147.9074903938488
24,147.8785592688197
25,147.8785592688197
26,147.8785592688197
27,147.8785592688197
28,147.8785592688197
29,147.8785592688197
30,147.8785592688197
31,147.8785592688197
32,147.8785592688197
33,147.8785592688197
34,147.8785592688197
35,147.8785592688197
36,147.8785592688197
37,147.32610808290787
38,147.32610808290787
39,147.32610808290787
40,147.35491662838865
41,147.32610808290787
42,147.32610808290787
43,147.32610808290787
44,147.32610808290787
45,147.32610808290787
46,146.80259370843194
47,146.80259370843194
48,147.3535464858472
49,147.3535464858472
50,147.3535464858472
51,146.77539277210272
52,146.80259370843194
53,146.25201045316476
54,146.27805129399877
55,146.27805129399877
56,146.27805129399877
57,146.27805129399877
58,146.25201045316476
59,146.27805129399877
60,146.25201045316476
61,146.25201045316476
62,146.25201045316476
63,145.7288681583925
64,145.7288681583925
65,145.7288681583925
66,145.70318169727588
67,145.18017457406336
68,145.2047982021775
69,145.2047982021775
70,145.2047982021775
71,145.72770333429617
72,145.2047982021775
73,145.2047982021775
74,145.2047982021775
75,144.68213292042248
76,144.68213292042248
77,144.65634304260033
78,144.68213292042248
79,144.68213292042248
80,144.68213292042248
81,144.68213292042248
82,144.65740661089143
83,144.68213292042248
84,144.68213292042248
85,144.65740661089143
86,144.68213292042248
87,144.65740661089143
88,144.15970740254252
89,144.15970740254252
90,144.133811349229
91,144.13487771425395
92,144.13487771425395
93,144.13487771425395
94,144.133811349229
95,144.15970740254252
96,144.15970740254252
97,144.133811349229
98,144.15970740254252
99,144.15970740254252
100,144.15970740254252
101,144.15970740254252
102,144.15970740254252
103,144.15970740254252
104,144.133811349229
105,144.133811349229
106,144.15970740254252
107,144.15970740254252
108,144.133811349229
109,144.133811349229
110,144.15970740254252
111,144.15970740254252
112,144.15970740254252
113,144.15970740254252
114,144.15970740254252
115,144.15970740254252
116,144.133811349229
117,144.133811349229
118,144.15970740254252
119,144.133811349229
120,144.15970740254252
121,144.15970740254252
122,144.133811349229
123,144.13487771425395
124,144.133811349229
125,144.15970740254252
126,144.133811349229
127,144.133811349229
128,144.11062496254286
129,144.133811349229
130,144.15970740254252
131,144.133811349229
132,144.133811349229
133,144.15970740254252
134,144.133811349229
135,144.133811349229
136,144.15970740254252
137,144.133811349229
138,144.13487771425395
